name,lat_ns_per_op,tp_ns_per_op,lat_intercept_ms,tp_intercept_ms,lat_r2,tp_r2,reliable
v_not_b32,132.02,83.13,17.4997,17.5277,0.9233,0.7198,1
v_or_b32,17.53,-4.45,17.6221,17.6235,0.1332,0.0190,0
v_pack_f16rtz_f32,19.90,12.42,17.6051,17.6040,0.9915,0.9974,1
v_pack_i16_i32,19.19,7.59,17.6064,17.6048,0.9337,0.8633,1
v_pack_i8_i32,43.56,-9.23,17.6136,17.6349,0.5142,0.0489,0
v_pack_snorm16_f32,-14.92,16.20,17.6443,17.5973,0.2120,0.9952,0
v_pack_u16_u32,-1.24,12.99,17.6351,17.5986,0.0009,0.9810,0
v_pack_u8_f32,17.88,11.34,17.6045,17.6047,0.8569,0.5646,1
v_pack_u8_u32,22.02,14.03,17.5995,17.6086,0.9938,0.7475,1
v_pack_unorm16_f32,-0.92,38.72,17.6274,17.6053,0.0009,0.5803,0
v_perm_sm_b32,6.33,28.74,17.6179,17.6004,0.0250,0.3956,0
v_rcp_f32,16.02,2.36,17.6359,17.6263,0.1537,0.0063,0
v_rcp_f64,27.91,28.70,17.6120,17.5984,0.9690,0.9924,1
v_rndne_f32,23.82,15.45,17.6041,17.6235,0.9629,0.1437,0
v_rndne_f64,43.27,27.60,17.5979,17.6088,0.9988,0.9779,1
v_rotr_b32,-5.46,25.48,17.6389,17.6135,0.0223,0.2605,0
v_rsq_f32,30.83,19.27,17.6060,17.6090,0.9534,0.8936,1
v_rsq_f64,37.64,59.33,17.5991,17.5893,0.9983,0.9805,1
v_s2v_b32,16.40,16.25,17.6346,17.6174,0.1287,0.1091,0
v_select_b32,2.24,-0.49,17.6237,17.6588,0.0051,0.0006,0
v_sext_i32_i16,-3.75,15.51,17.6473,17.6027,0.0076,0.7670,0
v_sext_i32_i8,12.89,5.31,17.6092,17.6137,0.7923,0.2426,0
v_sin_f32,31.07,7.18,17.6044,17.6362,0.9529,0.0475,0
v_sll_b32,32.75,8.08,17.5948,17.6107,0.9430,0.6584,1
v_sqrt_f32,37.36,11.86,17.5993,17.6123,0.9918,0.8473,1
v_sqrt_f64,30.98,39.42,17.6114,17.6104,0.9772,0.4815,0
v_sra_b32,20.54,-9.82,17.6047,17.6580,0.8038,0.2830,0
v_srl_b32,21.56,17.80,17.6049,17.6076,0.9987,0.8393,1
v_sub_f32,27.12,11.97,17.6073,17.6053,0.9393,0.9531,1
v_sub_i32,21.05,39.62,17.6137,17.6026,0.9969,0.8742,1
v_sub_u32,46.33,4.80,17.5994,17.6208,0.8795,0.0207,0
v_subb_u32,20.40,23.08,17.6100,17.6079,0.9982,0.9905,1
v_subbrev_u32,26.64,26.68,17.6071,17.6068,0.9549,0.9772,1
v_subrev_f32,24.25,15.89,17.6057,17.6053,0.9339,0.8255,1
v_subrev_u32,15.03,15.69,17.6075,17.6079,0.7068,0.9953,1
v_trunc_f32,21.06,14.26,17.6090,17.6089,0.9810,0.9939,1
v_trunc_f64,41.95,58.48,17.6101,17.5997,0.9983,0.9050,1
v_xnor_b32,21.99,13.99,17.6085,17.6080,0.9999,0.9856,1
v_xor_b32,18.02,8.28,17.6126,17.6148,0.9106,0.7354,1
